Survey Date,Rating,NPS Category,Sentiment,Completion Time (min),Feedback
11/4/2024,3,Passive,Neutral,9,Satisfactory
11/20/2024,5,Promoter,Positive,3,Superb
12/4/2024,5,Promoter,Positive,9,Disappointing
12/30/2024,5,Promoter,Positive,8,Excellent
1/18/2025,5,Promoter,Positive,5,Okay
11/18/2024,5,Promoter,Positive,7,Satisfactory
12/2/2024,2,Detractor,Negative,5,Disappointing
1/24/2025,5,Promoter,Positive,7,Superb
1/7/2025,5,Promoter,Positive,7,Satisfactory
11/30/2024,4,Promoter,Positive,8,Excellent
12/17/2024,5,Promoter,Positive,3,Mediocre
11/7/2024,4,Promoter,Positive,4,Disappointing
1/11/2025,5,Promoter,Positive,2,Good
11/12/2024,5,Promoter,Positive,3,Superb
12/2/2024,3,Passive,Neutral,7,Average
11/16/2024,4,Promoter,Positive,8,Superb
11/18/2024,4,Promoter,Positive,4,Exceptional
1/22/2025,4,Promoter,Positive,6,Good
11/26/2024,4,Promoter,Positive,9,Good
1/10/2025,4,Promoter,Positive,8,Average
12/29/2024,4,Promoter,Positive,9,Mediocre
1/7/2025,3,Passive,Neutral,7,Ok
11/26/2024,2,Detractor,Negative,7,Average
1/7/2025,4,Promoter,Positive,8,Okay
11/14/2024,3,Passive,Neutral,6,Fine
11/25/2024,5,Promoter,Positive,5,Satisfactory
1/22/2025,3,Passive,Neutral,3,Average
11/20/2024,5,Promoter,Positive,9,Superb
1/13/2025,4,Promoter,Positive,8,Excellent
12/25/2024,4,Promoter,Positive,5,Superb
11/4/2024,5,Promoter,Positive,9,Awesome
11/25/2024,3,Passive,Neutral,8,Fine
1/16/2025,5,Promoter,Positive,6,Awesome
1/18/2025,5,Promoter,Positive,5,Awesome
11/5/2024,5,Promoter,Positive,10,Awesome
11/10/2024,4,Promoter,Positive,4,Disappointing
11/13/2024,2,Detractor,Negative,8,Disappointing
1/24/2025,2,Detractor,Negative,4,Mediocre
1/23/2025,3,Passive,Neutral,6,Okay
1/2/2025,4,Promoter,Positive,9,Satisfactory
1/27/2025,4,Promoter,Positive,5,Average
12/14/2024,5,Promoter,Positive,6,Disappointing
12/4/2024,2,Detractor,Negative,6,Horrible
12/27/2024,5,Promoter,Positive,8,Excellent
1/25/2025,4,Promoter,Positive,6,Excellent
12/15/2024,3,Passive,Neutral,10,Average
11/12/2024,4,Promoter,Positive,3,Okay
12/3/2024,5,Promoter,Positive,10,Good
11/30/2024,5,Promoter,Positive,6,Okay
1/11/2025,4,Promoter,Positive,7,Superb
12/7/2024,1,Detractor,Negative,5,Fantastic
1/20/2025,4,Promoter,Positive,3,Superb
11/14/2024,1,Detractor,Negative,9,Bad
1/27/2025,5,Promoter,Positive,8,Exceptional
12/22/2024,3,Passive,Neutral,8,Fine
1/23/2025,5,Promoter,Positive,8,Exceptional
12/12/2024,4,Promoter,Positive,6,Average
1/27/2025,5,Promoter,Positive,8,Satisfactory
1/18/2025,4,Promoter,Positive,7,Satisfactory
11/24/2024,4,Promoter,Positive,10,Mediocre
11/10/2024,2,Detractor,Negative,10,Mediocre
1/13/2025,5,Promoter,Positive,4,Okay
1/6/2025,5,Promoter,Positive,9,Excellent
12/10/2024,5,Promoter,Positive,6,Fantastic
12/4/2024,5,Promoter,Positive,6,Mediocre
1/6/2025,4,Promoter,Positive,5,Average
11/21/2024,3,Passive,Neutral,10,Good
1/2/2025,3,Passive,Neutral,9,Fantastic
11/11/2024,5,Promoter,Positive,6,Satisfactory
12/31/2024,4,Promoter,Positive,7,Fantastic
11/24/2024,4,Promoter,Positive,8,Excellent
12/30/2024,4,Promoter,Positive,10,Superb
11/10/2024,4,Promoter,Positive,9,Excellent
1/5/2025,5,Promoter,Positive,4,Satisfactory
11/2/2024,3,Passive,Neutral,3,Satisfactory
12/26/2024,5,Promoter,Positive,7,Average
11/15/2024,3,Passive,Neutral,8,Okay
1/5/2025,4,Promoter,Positive,3,Exceptional
12/29/2024,5,Promoter,Positive,7,Awesome
12/29/2024,4,Promoter,Positive,7,Disappointing
11/15/2024,5,Promoter,Positive,4,Disappointing
12/28/2024,5,Promoter,Positive,7,Superb
12/1/2024,5,Promoter,Positive,3,Mediocre
11/1/2024,3,Passive,Neutral,6,Satisfactory
1/15/2025,4,Promoter,Positive,9,Exceptional
12/1/2024,5,Promoter,Positive,4,Exceptional
12/26/2024,5,Promoter,Positive,9,Mediocre
1/4/2025,3,Passive,Neutral,2,Okay
1/11/2025,3,Passive,Neutral,9,Fine
11/13/2024,5,Promoter,Positive,3,Awesome
11/19/2024,4,Promoter,Positive,6,Average
11/4/2024,5,Promoter,Positive,7,Average
11/16/2024,4,Promoter,Positive,5,Awesome
12/27/2024,5,Promoter,Positive,6,Superb
11/24/2024,3,Passive,Neutral,3,Mediocre
1/25/2025,4,Promoter,Positive,7,Awesome
1/8/2025,5,Promoter,Positive,9,Exceptional
11/3/2024,3,Passive,Neutral,7,Satisfactory
1/14/2025,5,Promoter,Positive,3,Disappointing
11/14/2024,4,Promoter,Positive,8,Mediocre
12/11/2024,5,Promoter,Positive,2,Okay
12/24/2024,3,Passive,Neutral,6,Poor
1/26/2025,2,Detractor,Negative,3,Terrible
12/7/2024,5,Promoter,Positive,4,Good
12/1/2024,4,Promoter,Positive,10,Exceptional
12/8/2024,5,Promoter,Positive,5,Exceptional
12/23/2024,4,Promoter,Positive,9,Exceptional
12/30/2024,5,Promoter,Positive,9,Exceptional
11/9/2024,5,Promoter,Positive,4,Good
1/20/2025,5,Promoter,Positive,7,Exceptional
1/11/2025,4,Promoter,Positive,3,Exceptional
11/19/2024,1,Detractor,Negative,7,Terrible
11/12/2024,5,Promoter,Positive,9,Superb
12/18/2024,5,Promoter,Positive,3,Fantastic
12/27/2024,4,Promoter,Positive,9,Awesome
12/15/2024,5,Promoter,Positive,10,Average
12/10/2024,3,Passive,Neutral,9,Fine
1/29/2025,5,Promoter,Positive,8,Mediocre
1/19/2025,5,Promoter,Positive,9,Good
12/2/2024,4,Promoter,Positive,7,Average
11/4/2024,4,Promoter,Positive,8,Awesome
11/27/2024,3,Passive,Neutral,9,Fine
1/18/2025,4,Promoter,Positive,5,Superb
12/24/2024,2,Detractor,Negative,9,Poor
12/31/2024,4,Promoter,Positive,2,Superb
1/8/2025,5,Promoter,Positive,5,Mediocre
12/5/2024,4,Promoter,Positive,5,Awesome
11/14/2024,2,Detractor,Negative,6,Poor
11/18/2024,4,Promoter,Positive,7,Excellent
11/7/2024,5,Promoter,Positive,9,Mediocre
11/1/2024,4,Promoter,Positive,8,Exceptional
12/29/2024,5,Promoter,Positive,8,Mediocre
12/16/2024,5,Promoter,Positive,4,Good
1/19/2025,5,Promoter,Positive,4,Disappointing
12/16/2024,5,Promoter,Positive,4,Awesome
1/5/2025,4,Promoter,Positive,9,Awesome
12/21/2024,5,Promoter,Positive,4,Disappointing
12/1/2024,2,Detractor,Negative,4,Horrible
1/5/2025,5,Promoter,Positive,7,Excellent
11/3/2024,5,Promoter,Positive,9,Superb
11/27/2024,4,Promoter,Positive,4,Superb
1/20/2025,5,Promoter,Positive,9,Satisfactory
1/9/2025,5,Promoter,Positive,8,Awesome
1/13/2025,5,Promoter,Positive,8,Awesome
11/27/2024,4,Promoter,Positive,5,Exceptional
12/9/2024,5,Promoter,Positive,3,Mediocre
12/9/2024,4,Promoter,Positive,2,Average
11/5/2024,4,Promoter,Positive,4,Exceptional
12/29/2024,5,Promoter,Positive,6,Exceptional
11/10/2024,5,Promoter,Positive,5,Fantastic
11/26/2024,4,Promoter,Positive,5,Excellent
11/23/2024,5,Promoter,Positive,7,Disappointing
1/18/2025,3,Passive,Neutral,7,Fine
1/10/2025,5,Promoter,Positive,9,Excellent
12/2/2024,4,Promoter,Positive,2,Satisfactory
12/13/2024,4,Promoter,Positive,7,Awesome
11/28/2024,3,Passive,Neutral,10,Ok
1/21/2025,3,Passive,Neutral,8,Ok
12/10/2024,4,Promoter,Positive,4,Mediocre
11/17/2024,5,Promoter,Positive,7,Superb
11/27/2024,3,Passive,Neutral,10,Mediocre
11/6/2024,5,Promoter,Positive,9,Satisfactory
12/4/2024,3,Passive,Neutral,8,Okay
1/8/2025,5,Promoter,Positive,5,Good
11/7/2024,5,Promoter,Positive,6,Awesome
11/30/2024,4,Promoter,Positive,5,Awesome
1/10/2025,5,Promoter,Positive,9,Okay
12/3/2024,2,Detractor,Negative,8,Mediocre
12/5/2024,5,Promoter,Positive,6,Awesome
12/2/2024,2,Detractor,Negative,5,Terrible
11/24/2024,5,Promoter,Positive,9,Mediocre
11/2/2024,4,Promoter,Positive,8,Awesome
1/13/2025,4,Promoter,Positive,5,Average
1/25/2025,4,Promoter,Positive,9,Mediocre
11/6/2024,5,Promoter,Positive,9,Fantastic
12/26/2024,5,Promoter,Positive,5,Average
12/2/2024,5,Promoter,Positive,4,Good
1/14/2025,3,Passive,Neutral,4,Satisfactory
1/11/2025,5,Promoter,Positive,3,Exceptional
1/30/2025,4,Promoter,Positive,5,Exceptional
12/7/2024,4,Promoter,Positive,6,Good
12/12/2024,2,Detractor,Negative,9,Mediocre
1/27/2025,4,Promoter,Positive,6,Good
11/19/2024,4,Promoter,Positive,8,Excellent
1/23/2025,5,Promoter,Positive,9,Satisfactory
12/28/2024,5,Promoter,Positive,9,Average
12/22/2024,5,Promoter,Positive,7,Excellent
1/13/2025,4,Promoter,Positive,8,Superb
11/22/2024,5,Promoter,Positive,7,Superb
11/22/2024,4,Promoter,Positive,3,Exceptional
12/19/2024,4,Promoter,Positive,10,Mediocre
12/30/2024,4,Promoter,Positive,5,Satisfactory
1/23/2025,4,Promoter,Positive,8,Exceptional
1/21/2025,5,Promoter,Positive,3,Disappointing
11/6/2024,4,Promoter,Positive,5,Fantastic
11/11/2024,4,Promoter,Positive,7,Exceptional
1/4/2025,5,Promoter,Positive,6,Satisfactory
1/7/2025,2,Detractor,Negative,3,Horrible
12/29/2024,3,Passive,Neutral,8,Average
12/25/2024,4,Promoter,Positive,5,Mediocre
12/27/2024,5,Promoter,Positive,5,Superb
11/11/2024,3,Passive,Neutral,5,Mediocre
11/29/2024,4,Promoter,Positive,7,Awesome
1/19/2025,5,Promoter,Positive,3,Fantastic
1/17/2025,4,Promoter,Positive,5,Satisfactory
1/14/2025,4,Promoter,Positive,9,Awesome
1/7/2025,4,Promoter,Positive,3,Awesome
1/6/2025,5,Promoter,Positive,7,Disappointing
11/16/2024,3,Passive,Neutral,5,Okay
11/26/2024,4,Promoter,Positive,10,Good
11/1/2024,4,Promoter,Positive,6,Excellent
11/28/2024,5,Promoter,Positive,4,Superb
12/14/2024,1,Detractor,Negative,8,Bad
1/8/2025,5,Promoter,Positive,9,Awesome
11/28/2024,5,Promoter,Positive,4,Superb
12/2/2024,5,Promoter,Positive,5,Fantastic
1/25/2025,4,Promoter,Positive,2,Good
12/8/2024,4,Promoter,Positive,9,Good
1/9/2025,4,Promoter,Positive,9,Superb
12/12/2024,5,Promoter,Positive,4,Disappointing
12/9/2024,5,Promoter,Positive,8,Excellent
1/19/2025,5,Promoter,Positive,7,Exceptional
1/6/2025,4,Promoter,Positive,7,Excellent
12/13/2024,5,Promoter,Positive,4,Excellent
1/30/2025,4,Promoter,Positive,10,Mediocre
1/28/2025,4,Promoter,Positive,7,Good
1/3/2025,4,Promoter,Positive,9,Excellent
1/24/2025,5,Promoter,Positive,6,Disappointing
11/24/2024,2,Detractor,Negative,8,Poor
11/28/2024,4,Promoter,Positive,10,Awesome
12/12/2024,4,Promoter,Positive,10,Exceptional
11/26/2024,4,Promoter,Positive,3,Disappointing
1/3/2025,5,Promoter,Positive,5,Excellent
11/9/2024,5,Promoter,Positive,6,Excellent
1/4/2025,5,Promoter,Positive,3,Awesome
1/6/2025,4,Promoter,Positive,10,Awesome
12/30/2024,5,Promoter,Positive,8,Superb
12/12/2024,4,Promoter,Positive,3,Satisfactory
12/7/2024,5,Promoter,Positive,4,Satisfactory
12/16/2024,3,Passive,Neutral,4,Good
1/12/2025,4,Promoter,Positive,3,Mediocre
12/27/2024,4,Promoter,Positive,9,Awesome
1/29/2025,4,Promoter,Positive,9,Superb
1/13/2025,4,Promoter,Positive,4,Exceptional
12/23/2024,4,Promoter,Positive,9,Awesome
11/5/2024,3,Passive,Neutral,5,Good
11/5/2024,4,Promoter,Positive,10,Okay
1/5/2025,5,Promoter,Positive,5,Awesome
11/8/2024,5,Promoter,Positive,3,Excellent
11/8/2024,5,Promoter,Positive,7,Mediocre
1/3/2025,5,Promoter,Positive,9,Superb
12/9/2024,5,Promoter,Positive,8,Exceptional
12/25/2024,5,Promoter,Positive,4,Exceptional
12/18/2024,5,Promoter,Positive,4,Awesome
11/11/2024,4,Promoter,Positive,9,Okay
1/22/2025,3,Passive,Neutral,6,Mediocre
1/26/2025,5,Promoter,Positive,3,Disappointing
12/23/2024,3,Passive,Neutral,7,Exceptional
1/29/2025,5,Promoter,Positive,8,Superb
1/22/2025,5,Promoter,Positive,7,Excellent
11/15/2024,3,Passive,Neutral,6,Mediocre
11/1/2024,5,Promoter,Positive,6,Awesome
1/9/2025,2,Detractor,Negative,7,Awesome
11/5/2024,2,Detractor,Negative,6,Average
11/14/2024,2,Detractor,Negative,8,Poor
11/26/2024,2,Detractor,Negative,8,Mediocre
11/19/2024,5,Promoter,Positive,8,Disappointing
12/7/2024,5,Promoter,Positive,8,Awesome
12/8/2024,4,Promoter,Positive,8,Mediocre
12/13/2024,5,Promoter,Positive,7,Excellent
11/30/2024,5,Promoter,Positive,10,Excellent
1/30/2025,4,Promoter,Positive,7,Okay
12/10/2024,3,Passive,Neutral,5,Average
12/13/2024,4,Promoter,Positive,4,Awesome
1/9/2025,5,Promoter,Positive,4,Fantastic
12/15/2024,5,Promoter,Positive,3,Excellent
12/16/2024,3,Passive,Neutral,5,Satisfactory
11/17/2024,4,Promoter,Positive,9,Exceptional
12/30/2024,5,Promoter,Positive,4,Superb
11/1/2024,5,Promoter,Positive,4,Disappointing
12/2/2024,5,Promoter,Positive,7,Superb
11/6/2024,3,Passive,Neutral,3,Okay
11/30/2024,2,Detractor,Negative,5,Disappointing
12/4/2024,5,Promoter,Positive,7,Awesome
12/2/2024,5,Promoter,Positive,7,Mediocre
12/24/2024,4,Promoter,Positive,5,Exceptional
11/23/2024,2,Detractor,Negative,6,Awesome
1/10/2025,5,Promoter,Positive,9,Average
12/9/2024,3,Passive,Neutral,8,Average
12/25/2024,4,Promoter,Positive,3,Superb
1/20/2025,5,Promoter,Positive,3,Fantastic
1/23/2025,5,Promoter,Positive,3,Exceptional
11/30/2024,4,Promoter,Positive,7,Good
12/23/2024,5,Promoter,Positive,9,Excellent
11/21/2024,3,Passive,Neutral,2,Okay
12/28/2024,5,Promoter,Positive,2,Mediocre
11/8/2024,5,Promoter,Positive,9,Exceptional
1/28/2025,4,Promoter,Positive,10,Excellent
1/20/2025,1,Detractor,Negative,7,Awesome
1/12/2025,4,Promoter,Positive,2,Awesome
12/26/2024,3,Passive,Neutral,3,Average
1/15/2025,5,Promoter,Positive,4,Fantastic
12/29/2024,1,Detractor,Negative,7,Poor
